id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C0023,Joly,Aimï¿,aimï¿½ï¿½.joly@gmail,22/04/1999,Female,CAS,02 43 95 13 62,09/07/2023,Direct
C0024,Moreno,Marine,marine.moreno@gmail.com,25/07/1983,Femme,rabat,+33 (0)4 32 53 91 08,13/08/2024,Referral
C0025,Tessier,Corinne,corinne.tessier@gmail.com,03/08/1983,homme,casablanca,+33 (0)6 37 19 01 55,13/02/2023,Social
C0026,Lemoine,Monique,monique.lemoine@gmail.com,31/08/1967,F,Fez,485355351,05/06/2024,SEO
C0027,Barthelemy,Odette,odette.barthelemy@gmail.com,10/05/1969,H,Fez,+33 4 26 54 30 85,03/06/2022,SEO
C0028,Hernandez,Marcelle,marcelle.hernandez@gmail.com,31/05/1955,F,RABAT,+33 (0)2 61 50 54 92,05/05/2023,Referral
C0029,Thierry,Odette,odette@,24/07/1989,Homme,CASA,+33 (0)2 33 71 81 81,08/07/2022,SEO
C0030,Ferreira,Mathilde,mathildeferreira,21/09/1946,homme,RABAT,+33 6 30 14 55 65,02/04/2026,Referral
C0031,Bï¿½ï¿,Yves,yves@,13/01/1958,m,TANGER,+33 (0)2 77 34 27 19,26/07/2022,Social
C0032,Schmitt,Jean,jeanschmitt,18/10/1997,femme,Casablanca,+33 (0)4 87 92 26 56,07/09/2024,Direct
C0033,Peron,Alphonse,alphonse.peron@gmail.com,07/10/1985,femme,RABAT,420201928,28/08/2023,SEO
C0034,Olivier,Marianne,marianneolivier,06/01/1981,Homme,tanger ,+33 2 57 35 40 79,02/12/2025,SEO
C0035,Mercier,Joseph,joseph.mercier@gmail.com,11/01/1972,m,tanger,+33 (0)4 63 27 63 38,17/12/2024,Social
C0036,Lefï¿½ï¿,Dorothï¿½,dorothï¿½ï¿½e.lefï¿½ï¿½vre@g,14/03/2006,homme,Fï¿½,492738144,01/01/2024,Email
C0037,Lacroix,Isaac,isaac.lacroix@gmail.com,14/04/1979,Homme,Marrakech,+33 2 55 61 85 10,03/01/2023,SEO
C0038,Vasseur,Renï¿½,renï¿½ï¿½e.vasseur@gmail,01/07/1965,Female,MARRAKECH,+33 (0)1 88 42 33 61,16/06/2023,Referral
C0039,Petitjean,Anastasie,anastasie.petitjean@gmail.com,03/12/1976,Female,tanger ,+33 2 38 16 89 39,05/01/2023,SEO
C0040,Mendï¿½,Odette,odette@,25/07/2005,Female,TNG,02 30 59 70 58,27/04/2025,Referral
C0041,Schneider,Thï¿½ï¿½op,thï¿½ï¿½ophile.schneider@gmail,20/01/1948,f,TANGER,+33 5 16 55 10 05,30/06/2023,Email
C0042,Jacquet,Joseph,josephjacquet,11/05/1952,Male,CASA,+33 (0)1 55 42 49 46,17/02/2026,Email
C0043,Hardy,Pï¿½ï¿½nï¿,pï¿½ï¿½nï¿½,30/06/1965,femme,MARRAKECH,05 16 69 89 63,09/01/2024,Referral
C0044,Mallet,Paul,paul.mallet@gmail.com,24/02/2008,Homme,rabat,449059134,03/08/2022,Social
C0045,Bousquet,ýýlisabeth,ýýlisabethbousquet,12/08/1984,f,MARRAKECH,456098485,14/10/2025,Email
C0046,Blanc,Alexandria,alexandria.blanc@gmail.com,02/03/2005,Femme,fes,269478476,14/11/2025,Referral
C0047,Jacquet,Caroline,caroline.jacquet@gmail.com,22/10/1993,m,Marrakech,386471994,11/08/2025,Direct
C0048,Moreau,Alphonse,alphonsemoreau,02/11/1952,Female,marrakech,362283192,13/10/2024,Direct
C0049,Lopez,Franï¿½ï¿,franï¿½ï¿½ois.lopez@gmail,01/09/1981,homme,TNG,03 24 36 02 00,12/09/2024,Email
C0050,Bï¿½ï¿,Valentine,valentine@,10/12/1999,femme,RABAT,+33 6 34 07 98 59,29/10/2025,Referral
C0051,Andre,Lucas,lucas.andre@gmail.com,26/12/1980,Femme,RABAT,03 21 02 12 41,22/02/2025,SEO
C0052,Becker,Corinne,corinne.becker@gmail.com,27/04/1980,1,Rabat,+33 (0)5 79 18 30 32,04/01/2026,Direct
C0053,Lï¿½ï¿½vï,Jeannine,jeannine.lï¿½ï¿½vï¿½ï¿½que@g,19/08/1974,1,MRK,06 57 98 34 78,03/11/2022,Email
C0054,Lagarde,Honorï¿,honorï¿½ï¿½.lagarde@gmail,28/11/1973,Homme,Rabat,771380723,22/11/2023,SEO
C0055,Gomez,Thomas,thomas@,11/12/1971,f,rabat,+33 3 21 60 40 31,16/09/2022,Referral
C0056,Giraud,Josette,josette.giraud@gmail.com,24/08/1989,Femme,Fez,+33 (0)2 30 12 30 54,12/08/2023,SEO
C0057,Durand,Victoire,victoire.durand@gmail.com,29/05/1976,homme,Fï¿½,+33 (0)2 34 08 79 71,26/12/2024,Referral
C0058,Carpentier,Lucie,lucie.carpentier@gmail.com,30/05/1945,f,casablanca,03 61 94 60 59,12/11/2024,SEO
C0059,Voisin,Timothï¿½,timothï¿½ï,23/04/1998,femme,fes,03 88 36 98 47,17/12/2022,Email
C0060,Pages,Hugues,hugues@,12/05/1997,H,FES,+33 (0)1 73 63 44 78,15/04/2023,SEO
C0061,Pages,Maggie,maggie.pages@gmail.com,20/07/1982,1,CAS,02 38 40 47 19,27/06/2022,Referral
C0062,Philippe,Margaud,margaud.philippe@gmail.com,22/12/1966,femme,Casablanca,+33 2 47 06 48 59,07/03/2023,Direct
C0063,Legendre,Louise,louise.legendre@gmail.com,23/08/1999,Female,tanger,465158541,22/07/2023,Direct
C0064,Marty,Arnaude,arnaude.marty@gmail.com,11/05/1983,homme,CAS,+33 2 30 59 55 55,09/07/2025,Social
C0065,Lebreton,Guy,guy.lebreton@gmail.com,21/09/1980,m,rabat,+33 (0)2 19 90 76 08,28/01/2023,Email
C0066,Guillet,Agathe,agathe@,29/06/1949,f,MRK,+33 (0)3 81 55 99 88,02/02/2025,Email
C0067,Klein,Anouk,anoukklein,27/08/1948,f,RABAT,+33 (0)2 96 56 27 71,23/04/2025,Direct
C0068,Lacombe,Matthieu,matthieu.lacombe@gmail.com,02/05/1975,m,MRK,+33 5 58 78 20 25,14/01/2026,Referral
C0069,Chrï¿½ï¿½,Martine,martine@,01/11/1973,F,tanger ,04 44 21 46 80,28/07/2024,Social
C0070,Bigot,Thibaut,thibautbigot,03/03/1966,0,MARRAKECH,769487533,28/12/2023,Direct
C0071,Riou,Philippe,philipperiou,20/07/1980,femme,TANGER,243676799,03/04/2023,SEO
C0072,Vidal,Capucine,capucine.vidal@gmail.com,16/03/1990,Femme,RABAT,517317058,15/05/2024,Direct
C0073,Couturier,Alfred,alfred@,28/02/1989,Homme,TANGER,+33 (0)4 32 56 17 52,04/11/2025,SEO
C0074,Loiseau,Danielle,danielleloiseau,26/03/1995,femme,Marrakech,+33 2 61 25 99 26,25/01/2026,Referral
C0075,Philippe,Adrienne,adrienne.philippe@gmail.com,02/04/1971,f,MARRAKECH,754545327,06/06/2023,Referral
C0076,Chartier,Thierry,thierry.chartier@gmail.com,1877-04-02,f,RABAT,04 89 44 37 75,03/04/2024,Referral
C0077,Pinto,Juliette,juliette.pinto@gmail.com,16/05/1950,H,CAS,+33 (0)1 53 07 62 28,15/04/2025,Social
C0078,Didier,Henriette,henriette.didier@gmail.com,25/06/2006,homme,Fï¿½,+33 4 30 09 44 65,28/08/2025,Email
C0079,Collin,Madeleine,madeleine@,06/03/1974,femme,RABAT,04 30 54 00 42,18/03/2024,Referral
C0080,ýýtienne,Christelle,christelle.ï¿½ï¿½tienne@gmail,23/08/1954,m,fes,06 37 49 10 23,07/01/2026,Direct
C0081,Potier,ýýdith,ýýdith.potier@gmail.com,25/10/1979,Homme,MRK,+33 7 60 25 83 51,13/06/2025,Referral
C0082,Millet,Michelle,michelle@,28/12/1994,F,fes,06 98 53 94 91,11/05/2023,Email
C0083,Michaud,Maurice,maurice@,07/10/1995,Femme,MARRAKECH,01 42 24 07 21,23/08/2023,Social
C0084,Traore,Marcel,marcel@,22/08/1992,f,fes,276353991,27/05/2023,Direct
C0085,Marchand,Adï¿½ï,adï¿½ï¿½lemarc,26/01/2000,f,fes,04 23 11 71 65,10/10/2025,Referral
C0086,Marin,Alain,alain.marin@gmail.com,24/07/2002,H,TANGER,+33 (0)4 76 90 37 29,04/09/2023,SEO
C0087,Sanchez,Gabriel,gabriel.sanchez@gmail.com,12/11/1976,homme,fes,+33 2 23 60 68 69,22/02/2024,Email
C0088,Maurice,ýýtienne,ýýtienne.maurice@gmail.com,06/09/1992,Homme,MARRAKECH,02 77 13 60 48,05/02/2026,Referral
C0089,Colin,Antoinette,antoinettecolin,03/02/1946,H,RABAT,03 10 89 24 27,22/09/2023,Email
C0090,Bodin,Jean,jean.bodin@gmail.com,01/05/1953,Male,TANGER,+33 7 63 40 47 54,19/03/2024,SEO
C0091,Roche,Alexandria,alexandriaroche,01/03/1950,m,CAS,+33 (0)8 09 01 12 07,08/08/2024,SEO
C0092,Launay,Bernadette,bernadette.launay@gmail.com,07/12/1961,0,RBA,06 84 82 47 51,30/08/2025,Direct
C0093,Laroche,Franï¿½ï¿½,franï¿½ï¿½o,28/01/2000,m,casablanca,02 52 15 44 85,05/11/2024,Direct
C0094,Le Roux,Jean,jean@,24/11/2006,1,CASA,01 53 68 90 19,02/08/2025,Email
C0095,Cohen,Anne,annecohen,14/12/1955,Femme,Rabat,03 25 90 61 41,21/04/2023,Social
C0096,Charpentier,Maryse,maryse.charpentier@gmail.com,31/08/1974,Female,FES,479922970,27/10/2024,Email
C0097,Petit,Emmanuelle,emmanuellepetit,12/11/1992,femme,rabat,+33 (0)4 50 96 88 23,30/07/2023,Direct
C0098,Bousquet,Roland,roland@,29/10/1951,f,RBA,04 37 20 77 92,04/05/2025,Direct
C0099,Henry,Hugues,hugues.henry@gmail.com,11/07/1956,H,Tnja,05 45 11 00 11,04/11/2024,Email
C0100,Potier,Paulette,paulette.potier@gmail.com,20/11/1995,Male,MRK,02 55 26 74 08,27/10/2023,Email
C0101,Schmitt,Gilles,gilles.schmitt@gmail.com,14/09/2005,Homme,tanger ,+33 5 46 81 25 81,11/02/2026,SEO
C0102,Boulanger,Aimï¿½,aimï¿½ï,07/11/1999,Homme,rabat,+33 2 32 57 72 64,30/05/2023,Direct
C0103,Brunel,Bertrand,bertrand.brunel@gmail.com,29/06/1997,F,casablanca,01 56 26 14 27,25/02/2024,Email
C0104,Morvan,Thomas,thomas.morvan@gmail.com,15/05/1952,Female,RABAT,449943592,15/10/2024,SEO
C0105,Boulay,Roger,rogerboulay,15/06/1968,Male,tanger,+33 (0)3 59 03 21 05,14/06/2022,Direct
C0106,Renault,Yves,yves@,17/07/1972,f,Rabat,02 28 41 23 76,10/11/2024,SEO
C0107,Normand,Franï¿½ï¿,franï¿½ï¿½oisnor,25/04/2006,Female,RBA,+33 (0)2 23 28 63 14,13/01/2025,SEO
C0108,Pinto,Jeanne,jeanne.pinto@gmail.com,16/10/1999,F,Fï¿½,03 73 80 89 67,14/11/2022,SEO
C0109,Dijoux,ýýlodie,ýýlodiedijoux,09/08/1956,1,RABAT,02 46 00 14 92,07/10/2023,SEO
C0110,Boutin,Gabriel,gabriel.boutin@gmail.com,09/08/1954,1,Fï¿½,+33 5 57 78 63 21,26/05/2023,Social
C0111,Grondin,Josette,josettegrondin,04/09/1946,F,FES,+33 (0)6 55 38 29 86,31/05/2025,Social
C0112,Leliï¿½ï¿,ýýlýýonore,ýýlýýonoreleliýývre,18/08/1952,Femme,TANGER,+33 (0)1 53 88 18 89,06/04/2025,Email
C0113,Perez,Marcelle,marcelle.perez@gmail.com,19/09/1962,Homme,Fez,04 50 48 48 83,15/07/2023,Email
C0114,Albert,Martin,martin@,23/04/1955,Femme,Rabat,+33 5 65 20 07 33,12/07/2022,SEO
C0115,Martel,Manon,manonmartel,24/02/1958,Male,tanger ,+33 4 32 74 77 54,19/11/2024,SEO
C0116,Petitjean,Guillaume,guillaume.petitjean@gmail.com,25/08/1974,H,rabat,+33 4 71 16 79 04,04/07/2025,Referral
C0117,Mendï¿½,Patricia,patricia.mendï¿½ï¿½s@gmail,01/10/1997,Homme,marrakech,+33 7 89 78 69 36,14/12/2024,Referral
C0118,Guillon,Margaret,margaret.guillon@gmail.com,06/05/1960,H,rabat,+33 (0)5 36 27 12 23,10/04/2023,Social
C0119,Humbert,Gabrielle,gabrielle.humbert@gmail.com,23/01/1987,Homme,tanger,+33 1 44 18 44 12,07/05/2023,Social
C0120,Techer,Anouk,anouk@,30/11/1963,Homme,Rabat,699390332,22/12/2023,Direct
C0121,Torres,Henri,henri@,11/11/1988,homme,tanger ,01 88 61 14 91,03/06/2022,Email
C0122,Fournier,Franï¿½ï¿,franï¿½ï¿½,11/10/1987,F,Marrakech,02 76 67 48 82,09/07/2025,Referral
C0123,Pichon,Jacques,jacques.pichon@gmail.com,21/10/1975,Female,MRK,+33 (0)3 84 69 12 76,23/02/2025,SEO
C0124,Laporte,Anouk,anouklaporte,03/01/1963,homme,Fez,+33 (0)4 98 88 56 12,28/03/2026,Direct
C0125,Gros,Christiane,christiane.gros@gmail.com,28/06/1958,m,TNG,587999547,18/01/2024,Referral
C0126,Guillou,Zacharie,zacharie@,23/11/1972,F,MRK,04 23 89 93 28,25/04/2025,Direct
C0127,Boutin,Julien,julien@,10/05/1960,Male,MARRAKECH,+33 (0)4 82 28 71 77,13/12/2025,Referral
C0128,Andre,Adrienne,adrienne.andre@gmail.com,28/04/1955,homme,Fez,04 86 02 10 19,15/04/2023,Direct
C0129,Lopes,Susanne,susannelopes,26/08/1957,femme,Fï¿½,140319853,15/08/2023,Email
C0130,Weiss,Cï¿½ï¿½,cï¿½ï¿½lina.weiss@gmail,12/12/1975,m,CASA,536645330,24/01/2024,SEO
C0131,Leblanc,Renï¿,renï¿½ï¿½leb,02/06/1998,0,tanger ,+33 (0)4 95 05 26 18,05/12/2024,Referral
C0132,Lï¿½ï,Patrick,patrick@,22/12/1967,homme,MRK,+33 (0)4 75 29 34 35,11/04/2023,Direct
C0133,Collet,Victor,victor.collet@gmail.com,14/01/1962,f,RBA,+33 (0)4 83 10 33 59,04/04/2023,Social
C0134,Carre,Richard,richard.carre@gmail.com,15/08/2000,Homme,fes,482737256,16/08/2023,Email
C0135,Lefort,Timothï¿½,timothï¿½ï¿½e.lefort@gmail,15/12/1987,F,rabat,+33 7 54 69 69 05,03/02/2023,Referral
C0136,Klein,Agathe,agathe@,28/06/1949,f,Marrakech,322872018,21/03/2025,Email
C0137,Lï¿½ï¿,Alphonse,alphonse.lï¿½ï¿½ger@gmail,01/04/1965,1,Rabat,475171229,22/06/2023,Direct
C0138,Rodriguez,Hortense,hortense.rodriguez@gmail.com,05/08/1985,Male,Casablanca,03 51 36 61 72,29/02/2024,Direct
C0139,Leroux,Vï¿½ï¿½ron,vï¿½ï¿½roniquele,05/10/1958,Homme,FES,488911671,01/03/2026,Email
C0140,Hervï¿,Vï¿½ï¿½ron,vï¿½ï¿½roni,20/10/1963,1,Marrakech,+33 4 84 12 04 12,13/08/2024,Referral
C0141,Vasseur,Hugues,hugues.vasseur@gmail.com,21/05/1968,Female,TNG,+33 (0)1 30 54 63 89,08/09/2025,Referral
C0142,Lombard,Andrï¿½,andrï¿½ï¿½elom,03/01/1983,H,FES,+33 3 24 43 79 17,22/09/2025,Direct
C0143,Gillet,Alphonse,alphonse.gillet@gmail.com,12/12/1973,f,RABAT,02 69 72 56 85,23/02/2026,Referral
C0144,Riviï¿½ï,Anouk,anouk.riviï¿½ï¿½re@gmail,01/08/1945,0,tanger,130179965,21/05/2023,Email
C0145,Chauveau,Augustin,augustin.chauveau@gmail.com,12/04/1996,homme,Rabat,01 75 84 75 55,12/10/2024,Social
C0146,Rï¿½ï,Michel,michel.rï¿½ï¿½my@gmail,02/09/1972,f,fes,+33 2 28 36 56 45,02/09/2022,SEO
C0147,Pineau,Sophie,sophiepineau,10/11/1976,Homme,TANGER,05 79 26 89 14,23/02/2025,Referral
C0148,Couturier,Rï¿½ï,rï¿½ï¿½mycoutu,1876-07-27,homme,FES,04 42 11 25 95,02/11/2025,Email
C0149,Le Goff,ýýdouard,ýýdouard.le goff@gmail.com,03/07/1947,f,MARRAKECH,+33 (0)2 14 45 19 98,10/03/2025,SEO
C0150,Chauvin,Pierre,pierre.chauvin@gmail.com,17/04/1954,homme,Fez,07 85 54 14 61,31/05/2022,Email
C0151,Carre,Suzanne,suzanne.carre@gmail.com,11/01/1961,H,rabat,02 55 56 91 40,04/07/2022,Referral
C0152,Lefï¿½ï¿,Madeleine,madeleine@,13/07/1997,Female,CAS,+33 (0)3 59 71 85 97,03/10/2022,Social
C0153,Guillot,Chantal,chantal.guillot@gmail.com,30/10/1982,0,tanger,+33 4 81 24 36 67,07/07/2025,Social
C0154,Hoareau,Antoinette,antoinette.hoareau@gmail.com,14/07/1982,F,CASA,188188723,14/06/2023,Direct
C0155,Pelletier,Ocï¿½ï¿,ocï¿½ï¿½,08/08/1950,0,MRK,471164239,27/04/2024,Direct
C0156,Briand,Sylvie,sylviebriand,30/09/1983,Homme,RBA,+33 4 11 76 33 59,09/04/2025,Email
C0157,ýýtienne,Anouk,anoukï¿½ï¿½ti,17/08/1999,Homme,Fï¿½,310668500,12/07/2022,SEO
C0158,Diaz,Camille,camille.diaz@gmail.com,05/01/1997,F,MARRAKECH,04 92 94 63 18,30/03/2026,SEO
C0159,Bouvier,Thibaut,thibautbouvier,10/05/2006,F,marrakech,+33 4 73 68 63 17,17/10/2024,Social
C0160,Grenier,Catherine,catherine.grenier@gmail.com,10/03/1969,Female,Fï¿½,+33 6 33 75 61 24,23/09/2025,Social
C0161,Perrin,Noï¿½ï,noï¿½ï¿½mi.perrin@gmail,13/04/1986,F,CASA,+33 (0)4 71 58 86 67,19/12/2023,Social
C0162,Guillaume,Colette,colette.guillaume@gmail.com,01/05/1949,femme,RBA,+33 (0)5 59 73 80 77,14/09/2022,Referral
C0163,Rolland,David,david.rolland@gmail.com,20/08/1957,f,Rabat,+33 (0)3 73 47 28 48,26/12/2022,Direct
C0164,Legendre,Josï¿½ï¿½p,josï¿½ï¿½phine.legendre@gmail,23/09/1948,f,rabat,432918626,08/10/2022,Social
C0165,Mace,Amï¿½ï¿,amï¿½ï¿½lie.mace@gmail,25/07/1986,H,RABAT,+33 7 36 34 99 44,14/11/2023,SEO
C0166,Allard,Alix,alix.allard@gmail.com,25/12/1973,0,MARRAKECH,+33 3 86 23 78 90,21/10/2024,Referral
C0167,De Oliveira,Catherine,catherine.de oliveira@gmail.com,12/02/1960,Homme,FES,04 98 92 92 44,20/03/2025,Social
C0168,Henry,Michï¿½ï,michï¿½ï¿½le.henry@gmail,22/09/1950,1,fes,+33 6 35 82 34 04,20/12/2023,Email
C0169,Fouquet,Lucy,lucy.fouquet@gmail.com,17/12/1992,F,Marrakech,+33 (0)7 82 79 13 09,20/09/2024,Direct
C0170,Gros,Isabelle,isabelle.gros@gmail.com,28/03/2007,Male,casablanca,+33 3 67 43 03 74,19/11/2022,Direct
C0171,Rocher,Ocï¿½ï¿,ocï¿½ï¿½ane.rocher@gmail,22/05/1950,Female,CASA,01 43 78 72 71,28/12/2023,Social
C0172,Hernandez,Michelle,michelle@,22/02/1955,0,CAS,03 29 28 79 25,08/12/2024,Referral
C0173,Leliï¿½ï¿,Chantal,chantalleliï¿½ï¿,30/05/1963,F,FES,+33 (0)2 62 42 49 87,28/10/2024,Social
C0174,Garcia,Roger,roger.garcia@gmail.com,15/06/1986,f,marrakech,+33 (0)5 24 88 94 70,22/10/2023,Email
C0175,Couturier,Alex,alex@,29/04/1963,Homme,tanger ,+33 (0)3 72 54 89 98,05/06/2023,Social
C0176,Neveu,Laure,laure.neveu@gmail.com,10/09/2003,f,fes,+33 (0)5 36 73 76 03,04/09/2024,Social
C0177,Torres,Arthur,arthurtorres,24/03/1976,f,Rabat,+33 3 73 70 40 58,26/09/2024,Email
C0178,Charrier,Marine,marine.charrier@gmail.com,1893-08-23,0,Fï¿½,02 23 95 59 14,05/01/2026,SEO
C0179,Morel,Arthur,arthur.morel@gmail.com,14/03/1974,Homme,casablanca,+33 2 49 09 25 14,22/12/2023,Direct
C0180,Guibert,Monique,monique.guibert@gmail.com,1877-06-29,m,Fez,05 49 42 91 50,04/08/2023,Social
C0181,Mace,Zacharie,zacharie.mace@gmail.com,05/07/1981,Homme,MARRAKECH,177401809,04/09/2025,SEO
C0182,Moreau,Luc,luc.moreau@gmail.com,26/11/1967,f,CASA,+33 (0)3 76 08 90 53,26/08/2025,Direct
C0183,Delorme,Maurice,maurice@,28/03/1964,Male,Marrakech,750053347,28/05/2025,Direct
C0184,Morin,Marine,marine.morin@gmail.com,28/10/2000,H,MRK,182347373,19/12/2025,SEO
C0185,Barbe,Monique,monique@,22/07/1952,homme,Rabat,+33 3 85 78 29 86,18/02/2025,SEO
C0186,Pottier,Louise,louisepottier,23/06/1999,Homme,RBA,+33 3 79 97 13 70,25/07/2025,Email
C0187,Guillot,Lucie,lucie.guillot@gmail.com,02/03/1965,0,Tnja,258243222,23/05/2023,Referral
C0188,Rolland,Anastasie,anastasie.rolland@gmail.com,16/12/2007,Female,CASA,221798835,25/11/2025,Social
C0189,Poirier,Gï¿½ï¿½,gï¿½ï¿½rard.poirier@gmail,04/05/1986,0,Fï¿½,+33 1 30 29 50 88,20/11/2025,Social
C0190,Marchal,Clï¿½ï¿½m,clï¿½ï¿½mence.marchal@gmail,25/02/1956,F,RBA,+33 (0)4 68 16 36 10,26/08/2022,SEO
C0191,Gosselin,Lorraine,lorraine.gosselin@gmail.com,30/04/1993,Male,RBA,+33 (0)2 96 40 86 50,22/02/2023,SEO
C0192,Hernandez,Alain,alain.hernandez@gmail.com,07/05/1997,femme,Fez,+33 3 57 42 57 60,03/06/2023,Social
C0193,Deschamps,Louise,louisedeschamps,31/03/1957,f,FES,297121878,31/10/2023,SEO
C0194,Samson,Andrï¿½,andrï¿½ï¿½esa,17/10/1966,Femme,marrakech,+33 (0)6 34 45 61 65,12/07/2025,Email
C0195,Diaz,Arthur,arthur.diaz@gmail.com,05/10/1994,0,RABAT,567150225,04/11/2023,Email
C0196,Hamon,Josette,josettehamon,07/07/1964,F,tanger ,269917550,11/07/2025,Email
C0197,Chauveau,Chantal,chantal.chauveau@gmail.com,16/03/1950,Femme,tanger ,+33 5 62 77 09 08,21/09/2023,Social
C0198,Auger,Juliette,juliette.auger@gmail.com,15/02/1948,f,Casa,+33 1 49 60 04 50,27/05/2022,Social
C0199,Julien,Cï¿½ï¿½,cï¿½ï¿½line.julien@gmail,31/03/2002,H,RABAT,360452323,19/06/2022,Direct
C0200,Pasquier,Timothï¿½,timothï¿½ï¿½e.pasquier@gmail,22/03/1982,H,RABAT,+33 (0)3 52 22 36 76,22/04/2025,Email
C0201,Aubry,Dorothï¿½,dorothï¿½ï¿½ea,1894-01-05,m,RBA,183528460,16/10/2024,Social
C0202,Maillet,Daniel,danielmaillet,26/05/1988,Homme,MARRAKECH,457669991,03/06/2022,Direct
C0203,Charpentier,Lucie,lucie.charpentier@gmail.com,17/11/1973,0,MRK,+33 4 94 02 34 38,11/11/2025,SEO
C0204,Bertrand,Luc,lucbertrand,18/03/1977,Male,CASA,480639591,18/03/2025,Email
C0205,Rey,Paulette,paulette.rey@gmail.com,06/07/1946,Femme,Tnja,+33 (0)3 76 21 20 10,23/09/2024,Social
C0206,Lefebvre,Louise,louise.lefebvre@gmail.com,11/11/1966,1,marrakech,03 73 99 57 48,04/07/2022,Social
C0207,Bourgeois,Vï¿½ï¿½ron,vï¿½ï¿½roniquebourg,06/05/1969,femme,TNG,05 82 52 08 91,25/02/2026,Referral
C0208,Germain,Marthe,marthe.germain@gmail.com,11/07/2007,Homme,Marrakech,+33 (0)2 14 05 38 41,12/12/2023,Direct
C0209,Laporte,Alexandrie,alexandrie@,06/05/1999,1,Fez,+33 (0)3 73 92 74 15,15/11/2024,SEO
C0210,Thomas,Maggie,maggiethomas,23/02/1955,H,FES,176340222,16/03/2024,Social
C0211,Gillet,Bernadette,bernadette.gillet@gmail.com,17/12/1972,H,Fï¿½,245848070,11/03/2024,Social
C0212,Klein,Auguste,auguste.klein@gmail.com,20/10/1954,F,rabat,03 76 96 37 74,15/04/2023,SEO
C0213,Marin,Dominique,dominique.marin@gmail.com,15/01/1998,0,Casa,05 16 14 81 99,22/08/2023,Referral
C0214,Lambert,Capucine,capucine@,30/06/1987,H,Tnja,262011171,13/06/2023,Social
C0215,Renaud,Alexandre,alexandre.renaud@gmail.com,05/09/1980,m,MRK,03 73 72 63 48,26/07/2025,Referral
C0216,Germain,William,william.germain@gmail.com,16/07/2004,F,Casa,+33 (0)3 73 62 03 45,18/06/2025,Direct
C0217,Payet,Franï¿½ï¿½,franï¿½ï¿½o,19/01/1947,0,RBA,+33 1 69 70 91 18,14/01/2026,Direct
C0218,Brun,Philippine,philippine.brun@gmail.com,20/07/1950,1,Fï¿½,587451076,25/11/2025,Direct
